timestamp;router_ping;reference_ping
1657206137,603188;3,722;37,291
1657206137,669774;5,819;35,801
1657206137,7320151;4,399;35,339
1657206137,790436;4,784;36,759
1657206137,8534558;3,856;45,044
1657206137,920371;3,612;37,448
1657206137,9752388;4,15;35,438
1657206138,032821;3,511;35,343
1657206138,0929348;6,251;35,509
1657206138,156811;4,848;43,612
1657206138,2272918;3,421;35,491
1657206138,282759;4,217;35,251
1657206138,3417861;3,554;35,953
1657206138,401272;4,582;62,295
1657206138,488461;5,356;38,254
1657206138,549492;3,995;37,841
1657206138,6109598;3,482;35,461
1657206138,6691148;3,669;35,552
1657206138,72803;19,704;38,179
1657206138,808584;4,915;35,151
1657206138,8719308;3,97;35,137
1657206138,9320178;3,508;35,996
1657206138,9876292;3,726;35,316
1657206139,045186;3,526;35,492
1657206139,0992901;7,177;35,146
1657206139,157537;4,523;35,747
1657206139,218774;4,111;35,846
1657206139,282788;4,135;35,39
1657206139,343641;3,704;35,389
1657206139,408687;4,247;34,917
1657206139,46302;8,629;35,381
1657206139,522923;6,927;35,784
1657206139,591657;3,586;44,473
1657206139,661176;3,844;68,978
1657206139,7563589;3,144;34,502
1657206139,819134;5,413;39,123
1657206139,8849359;3,302;34,471
1657206139,948514;2,004;35,283
1657206140,009226;3,602;42,644
1657206140,07614;13,899;35,657
1657206140,1480708;8,26;34,564
1657206140,211972;2,893;43,359
1657206140,2748768;16,745;38,381
1657206140,3454232;5,102;34,999
1657206140,399369;3,01;34,621
1657206140,457281;3,862;34,746
1657206140,5110242;3,188;35,23
1657206140,573955;25,643;38,668
1657206140,6639302;3,512;34,806
1657206140,726068;6,824;35,144
1657206140,787446;3,255;34,48
1657206140,841629;8,643;40,159
1657206140,909045;3,693;35,423
1657206140,970838;3,247;34,454
1657206141,022857;2,968;34,726
1657206141,080479;3,265;34,883
1657206141,13858;3,276;36,634
1657206141,1920152;13,655;35,035
1657206141,254335;3,138;35,2
1657206141,309057;4,059;37,795
1657206141,370062;3,632;35,061
1657206141,427509;3,354;37,145
1657206141,485474;19,12;35,981
1657206141,56215;4,457;41,045
1657206141,628928;3,64;54,118
1657206141,706718;16,569;35,413
1657206141,780703;22,254;35,232
1657206141,85571;3,478;35,323
1657206141,9140182;3,376;34,995
1657206141,967247;6,489;34,842
1657206142,021319;3,116;35,101
1657206142,0766022;24,961;35,546
1657206142,156919;3,871;38,236
1657206142,217403;3,968;35,527
1657206142,2765708;6,651;36,428
1657206142,341962;3,824;35,427
1657206142,401311;3,845;34,879
1657206142,4612238;3,451;40,612
1657206142,524159;3,683;35,143
1657206142,585862;3,898;36,511
1657206142,662744;4,459;58,814
1657206142,743222;3,782;34,931
1657206142,800114;3,484;34,902
1657206142,860548;3,358;36,155
1657206142,922076;3,47;35,512
1657206142,983531;18,021;43,059
1657206143,067298;3,257;34,875
1657206143,1196501;3,355;34,527
1657206143,17203;3,065;34,549
1657206143,228435;3,233;34,783
1657206143,278799;36,244;36,652
1657206143,364772;4,324;35,528
1657206143,418883;3,904;34,647
1657206143,471978;3,211;35,791
1657206143,52602;7,702;35,364
1657206143,583461;34,774;36,208
1657206143,669023;4,344;37,715
1657206143,729898;14,045;35,132
1657206143,8041222;3,207;35,23
1657206143,853888;3,219;35,54
1657206143,903975;7,312;37,763
1657206143,961023;3,219;34,564
1657206144,01092;2,194;34,559
1657206144,060585;3,397;38,128
1657206144,1182961;8,496;34,505
1657206144,1781912;28,083;34,621
1657206144,252529;3,319;37,304
1657206144,308904;3,569;36,702
1657206144,3605518;3,803;35,591
1657206144,418205;3,905;37,036
1657206144,475631;28,794;34,539
1657206144,5561018;3,724;35,207
1657206144,615007;3,495;36,957
1657206144,6743538;4,08;35,175
1657206144,7373922;7,158;34,731
1657206144,800885;4,504;34,823
1657206144,86163;3,247;35,308
1657206144,958733;5,644;34,531
1657206145,0199978;3,55;48,539
1657206145,093007;7,71;36,608
1657206145,157999;3,47;34,668
1657206145,215626;3,43;34,76
1657206145,274344;3,44;35,499
1657206145,3337998;3,604;36,736
1657206145,395562;5,252;35,675
1657206145,4565;3,663;35,231
1657206145,515976;3,595;35,241
1657206145,574717;3,451;35,218
1657206145,631906;3,456;37,157
1657206145,6935601;4,215;35,563
1657206145,751761;3,621;35,634
1657206145,808977;3,931;41,385
1657206145,8735921;3,415;38,763
1657206145,930169;3,379;36,401
1657206145,993809;8,739;34,839
1657206146,061346;4,971;35,029
1657206146,1225548;3,758;37,761
1657206146,183372;3,707;35,463
1657206146,236309;3,277;35,593
1657206146,295646;6,569;34,981
1657206146,355202;3,403;34,683
1657206146,404726;2,862;35,527
1657206146,4554172;3,922;35,948
1657206146,511137;3,819;35,404
1657206146,5641541;3,779;61,942
1657206146,645767;3,781;38,559
1657206146,711515;3,907;35,435
1657206146,775254;7,273;36,511
1657206146,841959;4,283;35,904
1657206146,902171;6,048;35,552
1657206146,960245;4,333;35,307
1657206147,02068;3,301;35,473
1657206147,0772831;4,386;36,245
1657206147,1324852;3,869;36,509
1657206147,193231;10,439;34,827
1657206147,260515;3,459;34,77
1657206147,3195;3,548;35,94
1657206147,376103;3,346;38,27
1657206147,440233;3,944;36,402
1657206147,500837;3,877;39,521
1657206147,565417;4,503;35,129
1657206147,619314;3,882;35,299
1657206147,6718988;4,113;37,252
1657206147,725984;3,97;38,358
1657206147,786558;22,834;36,17
1657206147,866611;4,701;36,561
1657206147,9297469;3,849;35,188
1657206147,989536;3,151;35,001
1657206148,044447;2,391;35,028
1657206148,1004841;4,254;44,057
1657206148,1701949;3,312;41,802
1657206148,230137;3,957;36,674
1657206148,2885811;4,604;36,493
1657206148,3545458;3,392;62,777
1657206148,442562;3,589;35,603
1657206148,497421;3,678;36,225
1657206148,553955;2,796;36,049
1657206148,609097;3,807;40,637
1657206148,669184;6,882;53,195
1657206148,743635;14,556;37,04
1657206148,8109891;6,325;55,406
1657206148,888351;4,009;35,462
1657206148,948789;3,811;35,325
1657206149,006572;3,314;39,922
1657206149,072762;28,296;35,226
1657206149,160814;4,169;35,313
1657206149,220812;3,415;35,697
1657206149,2765539;3,123;43,783
1657206149,346839;5,342;53,465
1657206149,4261692;3,625;38,36
1657206149,4895492;3,619;35,145
1657206149,543124;16,84;41,661
1657206149,61657;3,145;35,231
1657206149,675055;120,718;35,188
1657206149,8523688;20,679;35,78
1657206149,931504;4,246;36,664
1657206149,994171;10,416;36,154
1657206150,058534;6,453;36,44
1657206150,1220531;3,51;35,971
1657206150,177612;8,595;35,265
1657206150,238228;3,098;34,895
1657206150,293752;9,298;36,796
1657206150,362437;9,598;34,832
1657206150,423542;3,0;38,152
1657206150,479593;4,008;36,443
1657206150,537169;3,182;35,893
1657206150,590977;3,021;34,477
1657206150,640574;4,401;45,737
1657206150,7088552;3,726;36,455
1657206150,765232;8,506;37,064
1657206150,832841;9,086;36,938
1657206150,8983848;8,882;34,692
1657206150,960753;3,271;43,353
1657206151,018906;5,944;35,927
1657206151,07256;3,633;36,847
1657206151,13151;3,236;36,492
1657206151,184393;14,153;35,17
1657206151,255761;2,094;36,502
1657206151,305741;4,21;35,294
1657206151,357792;3,908;36,682
1657206151,409647;4,336;36,032
1657206151,4610271;3,76;35,759
1657206151,511942;3,711;34,849
1657206151,565674;5,124;34,699
1657206151,617113;4,506;34,967
1657206151,6701992;3,413;34,632
1657206151,724993;2,885;35,682
1657206151,777834;27,186;40,982
1657206151,8659961;3,355;35,195
1657206151,918231;4,29;35,193
1657206151,973158;5,492;35,515
1657206152,027297;4,574;34,852
1657206152,079367;34,756;35,478
1657206152,162634;3,18;35,13
1657206152,21401;3,86;36,148
1657206152,274526;3,778;34,708
1657206152,332025;2,896;35,299
1657206152,390187;14,716;36,799
1657206152,460523;3,469;35,331
1657206152,5199811;2,24;35,287
1657206152,573897;4,356;42,346
1657206152,632193;3,132;40,428
1657206152,6892989;19,189;40,442
1657206152,764859;3,441;34,914
1657206152,817317;2,598;36,479
1657206152,87219;4,416;34,947
1657206152,9230568;15,213;37,273
1657206152,9894102;15,021;37,209
1657206153,0597172;2,745;35,31
1657206153,1181922;9,447;35,314
1657206153,1828532;4,273;35,149
1657206153,2364721;4,324;35,742
1657206153,28963;17,252;34,83
1657206153,3609412;2,516;34,232
1657206153,408898;3,918;34,737
1657206153,46471;2,061;35,875
1657206153,513319;3,065;34,799
1657206153,563172;4,846;64,473
1657206153,64362;10,611;36,969
1657206153,702367;5,149;35,469
1657206153,754636;4,412;36,344
1657206153,8079948;11,277;35,09
1657206153,870483;2,188;63,919
1657206153,9490821;9,784;34,771
1657206154,00718;2,77;91,691
1657206154,115047;12,293;78,645
1657206154,21941;13,724;53,815
1657206154,299948;2,134;45,158
1657206154,36341;69,009;114,97
1657206154,564302;38,829;84,997
1657206154,7015731;55,908;75,241
1657206154,847856;3,036;194,954
1657206155,057875;68,933;91,628
1657206155,2340639;30,936;97,01
1657206155,375068;47,84;51,875
1657206155,491078;132,125;94,98
1657206155,73266;31,597;43,456
1657206155,8231082;2,393;33,642
1657206155,9225879;3,366;34,389
1657206155,978063;33,044;46,002
1657206156,074309;3,223;44,793
1657206156,1461592;10,598;95,207
1657206156,276088;60,927;257,844
1657206156,604725;46,605;44,034
1657206156,7111511;25,08;40,676
1657206156,7980108;4,506;35,984
1657206156,853142;2,995;52,492
1657206156,9223502;18,827;60,183
1657206157,012216;33,554;50,226
1657206157,108116;5,573;105,759
1657206157,230292;11,176;168,066
1657206157,421103;37,444;127,747
1657206157,598988;29,995;89,337
1657206157,7363079;55,66;108,494
1657206157,91199;24,878;46,272
1657206157,994248;4,538;44,584
1657206158,053788;65,646;54,488
1657206158,1860402;12,48;61,892
1657206158,269875;7,41;35,21
1657206158,3231459;3,075;60,813
1657206158,402255;3,807;35,278
1657206158,456418;8,36;37,874
1657206158,5194812;3,36;35,137
1657206158,576156;7,647;35,308
