timestamp;router_ping;reference_ping
1657216919,9531698;3,635;90,236
1657216920,055458;5,314;89,764
1657216920,15939;4,177;90,018
1657216920,2616599;3,422;89,649
1657216920,365267;3,587;90,129
1657216920,465157;3,247;91,144
1657216920,565229;3,3;89,676
1657216920,660474;3,174;90,072
1657216920,760959;2,804;88,36
1657216920,87152;3,572;91,587
1657216920,9759722;3,471;90,379
1657216921,07936;3,647;90,11
1657216921,1823559;2,708;90,079
1657216921,2819269;3,76;91,084
1657216921,387697;3,367;90,025
1657216921,4899158;3,394;90,154
1657216921,594752;3,419;90,296
1657216921,693716;2,887;90,819
1657216921,792819;3,142;90,445
1657216921,897357;3,668;90,713
1657216922,000772;4,642;90,554
1657216922,10501;3,115;90,017
1657216922,208429;3,372;90,27
1657216922,3116071;3,882;90,229
1657216922,410822;3,889;91,068
1657216922,515053;3,76;90,734
1657216922,6187189;1,763;105,328
1657216922,729588;3,797;90,911
1657216922,82833;3,831;90,694
1657216922,93208;3,732;90,612
1657216923,035056;3,572;90,551
1657216923,1374888;3,529;90,007
1657216923,23887;3,202;90,193
1657216923,341355;3,358;90,341
1657216923,442187;3,575;90,518
1657216923,545814;2,212;90,056
1657216923,649139;3,348;90,383
1657216923,7515898;2,656;91,086
1657216923,847081;5,613;91,064
1657216923,946572;4,587;90,628
1657216924,050315;4,741;90,368
1657216924,15519;3,205;90,555
1657216924,2554119;3,401;89,738
1657216924,357086;2,888;90,648
1657216924,455659;3,545;91,361
1657216924,558483;3,299;92,288
1657216924,660697;3,463;91,169
1657216924,764113;3,077;90,646
1657216924,8632488;2,942;90,342
1657216924,959188;2,601;90,72
1657216925,058649;3,537;90,293
1657216925,1617799;3,421;90,125
1657216925,2640462;3,985;90,396
1657216925,3659031;3,414;90,477
1657216925,468765;3,54;90,096
1657216925,572457;3,622;90,27
1657216925,676219;3,344;89,741
1657216925,7766788;3,408;90,142
1657216925,878935;3,791;90,045
1657216925,974895;2,131;91,102
1657216926,0725398;3,267;90,298
1657216926,176126;3,712;90,17
1657216926,279444;3,056;89,349
1657216926,381276;3,341;90,054
1657216926,485525;3,534;89,678
1657216926,590966;3,606;90,137
1657216926,695594;3,359;90,152
1657216926,798369;3,451;90,146
1657216926,90237;3,397;90,876
1657216927,008099;2,788;89,767
1657216927,102319;2,913;90,6
1657216927,201428;3,841;90,615
1657216927,306101;3,342;89,91
1657216927,4099169;3,705;89,779
1657216927,514357;3,391;90,099
1657216927,617941;3,183;89,791
1657216927,722684;3,574;90,158
1657216927,826902;3,4;90,272
1657216927,9303548;2,962;89,968
1657216928,03297;3,577;90,306
1657216928,1299572;3,183;89,756
1657216928,225416;3,832;90,06
1657216928,327289;3,595;90,171
1657216928,428382;3,564;89,795
1657216928,5323782;3,359;90,283
1657216928,636574;3,452;90,196
1657216928,739711;3,423;90,085
1657216928,843986;3,38;89,877
1657216928,9469461;3,377;89,79
1657216929,05037;3,706;90,297
1657216929,154034;2,843;90,061
1657216929,248238;2,53;90,015
1657216929,345089;3,671;90,01
1657216929,445793;2,64;89,736
1657216929,542912;4,057;91,593
1657216929,647258;3,502;90,239
1657216929,75175;3,486;90,299
1657216929,859169;3,858;90,89
1657216929,963896;3,778;90,049
1657216930,067594;3,43;90,456
1657216930,17262;3,251;89,985
1657216930,27465;3,15;89,788
1657216930,36947;2,593;90,159
1657216930,467565;3,632;90,07
1657216930,571813;3,567;89,861
1657216930,6766;3,396;89,563
1657216930,777745;3,469;90,251
1657216930,88186;3,42;90,189
1657216930,986146;3,628;90,684
1657216931,090761;3,652;90,796
1657216931,1946611;3,677;91,114
1657216931,298051;3,658;90,669
1657216931,39523;3,169;90,63
1657216931,492666;3,455;90,323
1657216931,5951629;3,538;89,988
1657216931,6977549;3,462;91,043
1657216931,807275;3,155;90,342
1657216931,911885;3,406;90,758
1657216932,015884;4,221;90,422
1657216932,1200151;3,294;89,946
1657216932,222773;3,652;90,871
1657216932,3271198;3,581;90,256
1657216932,4291341;2,569;90,084
1657216932,523241;4,024;90,978
1657216932,621886;3,626;90,338
1657216932,7257862;2,969;91,836
1657216932,8312478;3,449;90,166
1657216932,935627;3,22;92,663
1657216933,044729;3,641;93,818
1657216933,1513972;3,775;92,158
1657216933,257151;3,425;92,415
1657216933,365997;3,535;94,569
1657216933,498423;2,449;98,521
1657216933,60099;2,786;91,121
1657216933,6998909;3,419;90,475
1657216933,803953;4,207;89,884
1657216933,9416618;3,448;89,895
1657216934,0460238;3,425;90,178
1657216934,150626;4,029;90,423
1657216934,2556438;3,615;89,275
1657216934,3586822;2,71;90,058
1657216934,457888;3,445;90,522
1657216934,5630028;2,434;91,983
1657216934,66132;2,792;95,295
1657216934,762671;3,184;90,053
1657216934,8630579;3,991;90,172
1657216934,984313;3,561;90,148
1657216935,088615;3,112;90,342
1657216935,192072;3,046;90,914
1657216935,293472;3,713;90,227
1657216935,4040031;2,955;90,019
1657216935,508626;4,004;91,092
1657216935,621247;2,602;90,357
1657216935,7188191;2,764;89,878
1657216935,8126478;6,989;92,537
1657216935,910329;2,742;89,376
1657216936,004302;2,952;89,713
1657216936,0984461;2,053;89,159
1657216936,1936052;3,107;89,918
1657216936,293464;3,087;90,234
1657216936,394992;3,234;89,963
1657216936,49424;2,838;89,543
1657216936,5881028;3,075;89,907
1657216936,6824121;3,576;90,284
1657216936,7777832;3,016;94,502
1657216936,876637;3,449;91,575
1657216936,972972;3,441;89,808
1657216937,071104;3,573;90,635
1657216937,345956;3,59;90,046
1657216937,526129;2,28;89,292
1657216937,621727;2,811;88,578
1657216937,7157161;2,865;90,039
1657216937,810373;3,672;90,626
1657216937,907935;2,625;89,694
1657216938,005116;2,092;89,981
1657216938,102713;3,207;92,477
1657216938,1996229;2,171;91,136
1657216938,2965918;2,456;90,649
1657216938,3970401;2,581;90,222
1657216938,497118;2,67;90,119
1657216938,5974789;2,607;90,348
1657216938,697477;3,112;90,098
1657216938,798317;2,919;90,199
1657216938,898276;2,925;90,072
1657216938,998506;3,197;90,126
1657216939,098572;3,241;89,803
1657216939,192569;2,572;89,352
1657216939,2854881;2,778;89,754
1657216939,378674;3,672;89,999
1657216939,473275;4,328;89,657
1657216939,566734;3,935;90,914
1657216939,663616;2,748;90,063
1657216939,763134;2,759;91,086
1657216939,864372;2,508;90,158
1657216939,965578;2,95;90,396
1657216940,066944;2,924;90,12
1657216940,166823;2,533;90,047
1657216940,263526;2,183;90,477
1657216940,358508;3,533;89,625
1657216940,4547572;2,793;89,152
1657216940,554403;3,186;88,692
1657216940,6521971;2,766;89,844
1657216940,750284;3,172;90,284
1657216940,861684;2,851;89,672
1657216940,9624581;2,584;90,101
1657216941,065495;2,815;90,013
1657216941,16666;2,399;89,703
1657216941,266337;2,787;89,709
1657216941,360986;4,856;90,513
1657216941,457237;2,796;90,122
1657216941,557013;3,044;90,266
1657216941,658561;2,821;90,908
1657216941,761154;2,779;90,333
1657216941,8628402;2,916;95,301
1657216941,969203;2,701;90,434
1657216942,070722;2,993;90,041
1657216942,1711612;3,635;90,453
1657216942,271971;3,649;90,397
1657216942,366841;3,049;89,987
1657216942,461629;3,004;90,303
1657216942,5609548;2,997;89,814
1657216942,6549702;2,849;90,073
1657216942,7484531;2,886;89,567
1657216942,841465;3,494;90,326
1657216942,936713;2,722;94,086
1657216943,0385978;3,097;90,589
1657216943,141014;3,053;90,154
1657216943,241484;3,367;90,302
1657216943,3437068;3,242;90,402
1657216943,4394019;2,649;89,561
1657216943,53334;4,039;90,4
1657216943,631454;3,274;90,084
1657216943,7345989;2,922;89,983
1657216943,837137;3,556;90,146
1657216943,9396448;2,632;89,849
1657216944,0381;3,322;90,503
1657216944,140345;3,607;90,428
1657216944,2417972;3,274;90,619
1657216944,3447838;3,599;90,223
1657216944,44693;3,715;90,558
1657216944,5462542;3,482;94,772
1657216944,6469529;3,61;91,228
1657216944,749855;2,976;91,632
1657216944,8545291;2,984;90,122
1657216944,957417;3,542;90,135
1657216945,060778;3,514;90,223
1657216945,1640189;3,71;90,42
1657216945,266773;3,097;89,459
1657216945,3738291;2,424;90,166
1657216945,473102;3,506;90,305
1657216945,569343;4,396;89,868
1657216945,66346;3,238;90,22
1657216945,7576199;2,754;89,913
1657216945,8508558;2,598;89,92
1657216945,944129;3,205;90,516
1657216946,039094;3,102;90,411
1657216946,137952;2,974;90,719
1657216946,239754;3,876;90,183
1657216946,3396091;2,86;89,927
1657216946,439541;2,972;90,748
1657216946,539837;2,519;90,202
1657216946,635903;2,665;89,726
1657216946,730973;2,376;89,749
1657216946,82779;2,764;89,524
1657216946,9225228;3,223;96,496
1657216947,0302532;3,341;90,265
1657216947,133483;2,949;90,366
1657216947,238114;3,284;94,651
1657216947,345728;3,133;91,941
1657216947,4484422;2,316;90,466
1657216947,546828;3,271;89,985
1657216947,6497338;4,066;89,737
1657216947,743696;3,482;91,02
1657216947,840469;3,512;90,465
1657216947,9411242;3,355;90,071
1657216948,0423949;3,332;89,936
1657216948,145293;2,894;89,537
1657216948,247958;3,36;90,282
1657216948,35157;3,405;90,227
1657216948,453397;2,891;89,919
1657216948,55488;3,808;90,336
1657216948,65889;3,788;90,333
1657216948,761514;2,432;89,945
1657216948,854976;2,049;89,488
1657216948,949996;2,453;90,099
1657216949,047908;2,911;90,383
1657216949,1515672;3,472;89,896
1657216949,254427;3,383;89,994
1657216949,357245;2,439;89,641
1657216949,4545028;3,582;90,228
1657216949,555468;3,424;89,917
1657216949,6565068;5,228;89,87
1657216949,850199;3,077;90,604
1657216950,014241;3,418;89,704
1657216950,125195;3,498;90,068
1657216950,2284238;2,82;89,295
1657216950,3218071;2,556;89,88
1657216950,4186041;3,723;90,424
1657216950,521183;3,894;90,513
1657216950,62972;3,648;90,2
1657216950,732158;3,76;90,359
1657216950,835835;2,841;89,498
1657216950,93611;2,591;89,886
1657216951,033153;3,431;90,02
1657216951,127438;2,3;89,899
1657216951,224885;3,371;89,838
1657216951,327517;2,873;89,77
1657216951,425824;3,351;90,393
1657216951,526721;3,627;90,266
1657216951,628439;3,525;90,112
1657216951,729664;3,618;89,992
1657216951,8327281;3,667;90,683
1657216951,933204;3,597;90,068
1657216952,037025;2,854;92,186
1657216952,137068;2,925;89,593
1657216952,230827;2,426;90,387
1657216952,328106;3,419;90,118
1657216952,431194;3,401;101,204
1657216952,545825;3,601;90,465
1657216952,649018;3,29;90,147
1657216952,752241;3,793;90,768
1657216952,8562229;3,73;90,244
1657216952,960263;3,044;90,064
1657216953,063036;3,388;90,056
1657216953,165323;2,174;90,337
1657216953,262008;2,793;90,104
1657216953,356481;2,879;90,01
1657216953,454452;3,38;90,165
1657216953,558175;4,076;90,483
1657216953,662218;3,567;90,282
1657216953,7663512;3,605;90,095
1657216953,869524;3,565;90,122
1657216953,9730759;2,917;89,838
1657216954,0762181;3,727;90,594
1657216954,181532;3,936;90,219
1657216954,284698;2,529;89,322
1657216954,378198;3,073;89,8
1657216954,47296;2,627;89,578
1657216954,567013;4,363;90,358
1657216954,670244;3,656;90,331
1657216954,7731562;3,907;90,235
1657216954,877481;3,833;90,611
1657216954,981359;3,129;90,494
1657216955,08573;4,534;90,122
1657216955,1866298;3,743;91,569
1657216955,291459;3,625;90,273
1657216955,3911948;5,064;90,742
1657216955,485995;3,341;91,728
1657216955,583371;3,296;92,346
1657216955,685194;28,359;90,971
1657216955,785887;5,264;144,663
1657216955,940754;3,2;94,097
1657216956,047391;42,399;95,362
1657216956,1556501;8,224;126,525
1657216956,290755;39,779;128,789
1657216956,4239502;58,446;133,862
1657216956,563998;45,222;127,972
1657216956,695667;129,525;170,873
1657216956,870498;44,013;136,501
1657216957,012455;46,175;128,555
1657216957,15116;40,636;131,343
1657216957,292955;44,358;125,53
1657216957,4280179;43,663;127,299
1657216957,5607748;33,343;124,261
1657216957,6905441;44,525;137,343
1657216957,837054;32,81;119,548
1657216957,9672089;30,964;123,062
1657216958,101229;36,853;126,073
1657216958,237271;30,043;123,525
1657216958,371862;37,754;116,148
1657216958,499201;46,831;110,746
1657216958,620231;36,778;122,187
1657216958,7467651;35,581;127,53
1657216958,882348;37,251;123,232
1657216959,01648;28,98;128,237
1657216959,155491;33,7;118,047
1657216959,28385;39,491;116,655
1657216959,409469;40,073;95,638
1657216959,512023;2,988;89,856
1657216959,610975;3,158;89,57
1657216959,70613;2,802;89,918
1657216959,800929;2,412;90,142
1657216959,898277;3,454;89,924
1657216959,998902;3,033;90,02
1657216960,0999832;3,992;89,257
1657216960,199321;2,96;90,078
1657216960,3003058;3,222;90,222
1657216960,4003708;2,869;91,125
1657216960,5026429;2,642;90,033
1657216960,603339;3,209;89,399
1657216960,702322;2,284;90,469
1657216960,799136;2,663;89,795
1657216960,893267;2,38;90,412
1657216960,99051;3,155;90,712
1657216961,091129;2,816;91,13
1657216961,192063;3,16;90,726
1657216961,293383;2,905;90,356
1657216961,39519;3,396;90,046
1657216961,4956942;3,35;89,82
1657216961,595437;2,67;90,169
1657216961,696474;2,967;90,355
1657216961,796939;2,149;90,341
1657216961,893239;2,869;89,493
1657216961,987129;2,402;90,03
1657216962,08413;2,438;92,959
1657216962,1885152;3,242;91,966
1657216962,29042;3,207;89,936
1657216962,3902678;3,055;90,037
1657216962,4915872;3,272;90,177
1657216962,591916;3,336;89,897
1657216962,691781;3,17;90,15
1657216962,791798;3,233;90,524
1657216962,8914309;2,878;89,729
1657216962,9855082;2,665;90,182
1657216963,0812511;2,444;90,026
1657216963,178133;2,954;90,066
1657216963,278816;3,051;90,058
1657216963,380197;3,13;90,502
1657216963,482226;3,064;91,181
1657216963,583304;3,568;90,22
1657216963,6857018;2,636;90,493
1657216963,786505;2,835;90,329
1657216963,887715;3,299;90,486
1657216963,987104;2,537;89,58
1657216964,080889;2,892;89,703
1657216964,175266;2,969;89,781
1657216964,2731159;3,065;90,218
1657216964,372447;2,708;90,237
1657216964,4705138;2,64;90,007
1657216964,568248;2,35;90,143
1657216964,667787;3,395;89,867
1657216964,7680159;3,049;90,496
1657216964,869792;3,355;89,227
1657216964,970871;2,744;90,077
1657216965,0716832;2,638;89,469
1657216965,165764;3,476;90,013
1657216965,2607622;2,938;90,561
1657216965,35956;3,066;90,616
1657216965,46121;3,119;90,88
1657216965,562141;2,559;90,475
1657216965,663098;3,221;90,233
1657216965,763446;3,202;90,19
1657216965,87169;2,919;90,838
1657216965,9726982;3,171;90,258
1657216966,075506;3,34;90,306
1657216966,175562;2,796;90,337
1657216966,270126;3,09;90,408
1657216966,3660731;2,943;89,784
1657216966,465418;2,966;90,324
1657216966,567425;3,325;90,05
1657216966,6869519;2,891;90,312
1657216966,788437;2,869;89,847
1657216966,8893068;3,374;90,133
1657216966,989397;3,318;90,228
1657216967,089707;3,25;90,123
1657216967,189863;3,266;91,413
1657216967,290464;2,434;89,87
1657216967,384183;3,276;91,336
1657216967,481418;3,193;90,405
1657216967,581107;2,659;90,422
1657216967,681848;2,64;92,942
1657216967,785537;3,382;90,696
1657216967,8862321;3,091;90,068
1657216967,987807;2,684;90,091
1657216968,088062;2,902;89,964
1657216968,188694;2,724;90,286
1657216968,289202;3,078;92,109
1657216968,389929;3,792;90,226
1657216968,4839182;2,082;89,415
1657216968,579214;3,047;89,821
1657216968,678512;2,806;90,036
1657216968,7792158;3,12;89,72
1657216968,879545;3,494;91,243
1657216968,980926;4,384;90,129
1657216969,082183;2,831;96,073
1657216969,1888618;3,254;89,972
1657216969,288681;3,214;89,534
1657216969,3876328;3,234;90,251
1657216969,483897;2,755;90,557
1657216969,578455;2,524;89,898
1657216969,674987;2,898;90,461
1657216969,775265;3,529;90,101
1657216969,875587;3,124;89,955
1657216969,976223;3,214;90,291
1657216970,076509;3,445;90,143
1657216970,177296;3,293;90,075
1657216970,277751;2,942;90,308
1657216970,3779898;2,946;89,567
1657216970,4768362;2,754;90,021
1657216970,583615;3,115;89,115
1657216970,677551;2,301;90,043
1657216970,7745621;3,194;90,101
1657216970,8745012;2,767;89,245
1657216970,9738839;3,067;90,161
1657216971,075188;3,213;90,056
1657216971,1750631;2,839;89,562
1657216971,275558;3,236;89,473
1657216971,374916;2,748;89,545
1657216971,4741771;2,877;89,892
1657216971,574605;3,601;90,229
1657216971,6714969;3,333;90,102
1657216971,765964;2,27;89,305
1657216971,861995;3,143;90,268
1657216971,9620411;3,494;90,529
1657216972,062609;2,998;90,24
1657216972,1628191;4,141;90,492
1657216972,263836;3,189;98,459
1657216972,372056;2,764;89,724
1657216972,47161;3,283;89,888
1657216972,571761;2,959;90,123
1657216972,672571;2,384;89,84
1657216972,768693;2,748;89,994
1657216972,863051;2,421;90,056
1657216972,960014;2,823;89,717
1657216973,0606122;3,409;90,118
1657216973,161044;3,218;90,437
1657216973,2614348;2,743;89,723
1657216973,361096;3,185;90,023
1657216973,462879;2,866;90,095
1657216973,563334;2,837;89,961
1657216973,6646929;3,294;90,296
1657216973,764221;2,33;90,15
1657216973,860865;2,837;90,202
1657216973,9553971;2,318;91,481
1657216974,053695;3,108;90,725
1657216974,1542668;3,134;89,767
1657216974,255507;3,215;90,135
1657216974,3552582;2,467;90,645
1657216974,454148;2,229;90,2
1657216974,552906;2,382;90,11
1657216974,652511;3,406;90,322
1657216974,754816;3,113;90,077
1657216974,854998;2,706;90,079
1657216974,952631;2,768;89,979
1657216975,0466208;2,136;90,278
1657216975,1430368;3,293;90,487
1657216975,243213;3,211;90,329
1657216975,343383;3,095;90,108
1657216975,444963;2,682;90,003
1657216975,545046;3,215;89,812
1657216975,644813;2,831;90,355
1657216975,747033;2,435;91,264
1657216975,848237;3,395;90,702
1657216975,949008;3,003;90,114
1657216976,04672;2,169;90,75
1657216976,142538;3,554;90,5
1657216976,23922;3,658;90,726
1657216976,340013;3,084;90,606
1657216976,4418828;2,879;90,08
1657216976,542877;3,183;90,038
1657216976,6429598;2,904;90,0
1657216976,742961;2,918;90,168
1657216976,84461;2,781;90,165
1657216976,94431;3,297;90,01
1657216977,044151;3,08;90,044
1657216977,142845;3,574;91,649
1657216977,242809;2,113;90,839
1657216977,3395882;3,438;99,876
1657216977,4490309;3,245;97,62
1657216977,5565598;3,201;90,011
1657216977,657676;3,006;90,169
1657216977,7593112;2,895;90,107
1657216977,860818;3,45;89,84
1657216977,9606059;3,234;90,275
1657216978,0607202;2,823;91,25
1657216978,16077;3,655;90,808
1657216978,257558;2,701;89,91
1657216978,351902;3,63;90,462
1657216978,449179;2,942;90,143
1657216978,550288;2,806;89,201
1657216978,64944;3,233;90,39
1657216978,749772;3,354;91,215
1657216978,852204;2,786;90,214
1657216978,953562;3,284;90,833
1657216979,054373;3,144;91,19
1657216979,155329;3,764;93,438
1657216979,2585878;2,56;93,836
1657216979,359491;2,35;89,864
1657216979,457463;3,011;89,878
1657216979,551583;2,924;89,953
1657216979,6494038;2,633;90,713
1657216979,749546;2,594;89,621
1657216979,848278;2,815;89,379
1657216979,946363;2,58;90,045
1657216980,0469959;3,03;90,178
1657216980,146965;3,3;90,034
1657216980,247162;3,154;89,96
1657216980,346287;2,78;90,316
1657216980,44381;2,913;90,155
1657216980,5380852;2,209;89,717
1657216980,633727;3,14;90,261
1657216980,7429981;2,929;89,994
1657216980,843643;3,225;90,241
1657216980,944017;2,459;90,052
1657216981,044378;2,761;90,409
1657216981,144894;2,792;90,18
1657216981,246121;3,366;90,132
1657216981,346128;3,27;89,974
1657216981,44528;2,669;90,071
1657216981,542529;2,184;89,164
1657216981,635801;2,136;89,897
